ID,C14_age,cal_BP,error,reservoir,depth
surface,,-50,5,,0
ING8D1,191,,27,,45
ING818,2823,,25,,68
ING820,8996,,39,,76
ING821,94,,28,,80
ING826,9693,,48,,100
ING835,11387,,56,,136
ING843,12348,,52,,168
ING846,11799,,45,,180
ING850,20691,,106,,196
INGD8,22272,,437,,205
