ID,C14_age,cal_BP,error,reservoir,depth
surface,,-50,5,,0
ING120,686,,29,,38
ING126,2011,,29,,50
ING135,1121,,77,,68
ING143,3755,,32,,84
ING150,5573,,55,,98
ING153,5040,,35,,104
ING161,12464,,49,,120
ING100-D3,13286,,55,,125
ING167,17938,,90,,132
ING175,12222,,51,,148
