"","all_14C","all_err","all_nme"
"188",3230,40,"MAR2"
"189",2190,40,"MAR2"
"190",3430,40,"MAR2"
"191",3440,40,"MAR2"
"192",2600,40,"MAR2"
"193",4070,75,"MAR2"
"194",2630,40,"MAR2"
"195",3795,55,"MAR2"
"196",430,40,"NGUE1"
"197",990,40,"NGUE1"
"198",1630,40,"NGUE1"
"199",1600,35,"NGUE1"
"200",1940,40,"NGUE1"
"201",3310,40,"NGUE1"
"202",2429,41,"NGUE1"
"203",2510,40,"NGUE1"
"204",2540,40,"NGUE1"
"205",4460,40,"NGUE1"
"206",4110,40,"NGUE1"
"207",2341,49,"NYABESSAN"
"208",2383,66,"NYABESSAN"
"209",2318,42,"NYABESSAN"
"210",2820,70,"NYABESSAN"
"211",2933,44,"NYABESSAN"
"212",160,45,"KAM [1]"
"213",1430,40,"KAM [1]"
"214",520,110,"KAM [1]"
"215",1255,75,"KAM [1]"
"216",1410,70,"KAM [1]"
"217",565,170,"CEN-17.4"
"218",345,60,"CEN-17.4"
"219",835,25,"CEN-17.4"
"220",1240,75,"CEN-17.4"
"221",1760,70,"CEN-17.4"
"222",2120,60,"CEN-17.4"
"223",4450,30,"CEN-17.4"
"224",6770,85,"CEN-17.4"
"225",7630,95,"CEN-17.4"
"226",7640,110,"CEN-17.4"
"227",7570,35,"CEN-17.4"
"228",8020,140,"CEN-17.4"
"229",9140,50,"CEN-17.4"
"230",8360,35,"CEN-17.4"
"231",9930,40,"CEN-17.4"
"232",10150,50,"CEN-17.4"
"233",12450,40,"CEN-17.4"
"234",13650,45,"CEN-17.4"
"235",14750,85,"CEN-17.4"
"236",11550,55,"CEN-17.4"
"237",16850,85,"CEN-17.4"
"238",14050,55,"CEN-17.4"
"239",2649,37,"EKGkm4"
"240",7652,42,"EKGkm4"
"241",8484,41,"EKGkm4"
"242",2547,37,"EKGkm7-2015"
"243",7600,38,"EKGkm7-2015"
"244",9091,39,"EKGkm7-2015"
"245",1571,35,"EKGkm9"
"246",1754,38,"EKGkm9"
"247",1720,35,"EKGkm9"
"248",702,36,"EKGkm9"
"249",4811,37,"EKGkm9"
"250",4251,37,"EKGkm9"
"251",6354,39,"EKGkm9"
"252",7662,39,"EKGkm9"
"253",7993,40,"EKGkm9"
"254",9340,41,"EKGkm9"
"255",8575,46,"ITGkm6"
