all_14C,all_err,all_nme,cal_curve,region,geo
6500,140,Ngamakala Pond,shcal20,BATEKE,Lake
1050,130,Ngamakala Pond,shcal20,BATEKE,Lake
3960,60,Songolo,shcal20,ATL-FOR,Estuarine
5220,50,Songolo,shcal20,ATL-FOR,Estuarine
4930,50,Songolo,shcal20,ATL-FOR,Estuarine
6630,110,Songolo,shcal20,ATL-FOR,Estuarine
3065,40,Songolo,shcal20,ATL-FOR,Estuarine
3890,50,Songolo,shcal20,ATL-FOR,Estuarine
4400,50,Songolo,shcal20,ATL-FOR,Estuarine
5000,60,Songolo,shcal20,ATL-FOR,Estuarine
6100,50,Songolo,shcal20,ATL-FOR,Estuarine
4630,80,Songolo,shcal20,ATL-FOR,Estuarine
3890,50,Songolo,shcal20,ATL-FOR,Estuarine
3065,40,Songolo,shcal20,ATL-FOR,Estuarine
4400,50,Songolo,shcal20,ATL-FOR,Estuarine
3960,60,Songolo,shcal20,ATL-FOR,Estuarine
4630,80,Songolo,shcal20,ATL-FOR,Estuarine
4930,50,Songolo,shcal20,ATL-FOR,Estuarine
5000,60,Songolo,shcal20,ATL-FOR,Estuarine
5220,50,Songolo,shcal20,ATL-FOR,Estuarine
6100,50,Songolo,shcal20,ATL-FOR,Estuarine
6630,110,Songolo,shcal20,ATL-FOR,Estuarine
3050,40,Songolo,shcal20,ATL-FOR,Estuarine
3190,60,Songolo,shcal20,ATL-FOR,Estuarine
6400,140,Mbalang,intcal20,ATL-FOR,Lake
1796,62,Mbalang,intcal20,ATL-FOR,Lake
4023,58,Mbalang,intcal20,ATL-FOR,Lake
535,42.5,Mbalang,intcal20,ATL-FOR,Lake
5460,70,Kitina Lake,shcal20,ATL-FOR,Lake
2770,40,Kitina Lake,shcal20,ATL-FOR,Lake
490,40,Kitina Lake,shcal20,ATL-FOR,Lake
1340,40,Kitina Lake,shcal20,ATL-FOR,Lake
4020,40,Kitina Lake,shcal20,ATL-FOR,Lake
4900,40,Kitina Lake,shcal20,ATL-FOR,Lake
2490,60,Kitina Lake,shcal20,ATL-FOR,Lake
1900,40,Kitina Lake,shcal20,ATL-FOR,Lake
1590,150,Coraf,shcal20,ATL-FOR,Estuarine
3060,170,Coraf,shcal20,ATL-FOR,Estuarine
1590,150,Coraf,shcal20,ATL-FOR,Estuarine
3060,170,Coraf,shcal20,ATL-FOR,Estuarine
2670,140,Coraf,shcal20,ATL-FOR,Estuarine
2830,120,Coraf,shcal20,ATL-FOR,Estuarine
940,110,Coraf,shcal20,ATL-FOR,Estuarine
2670,140,Coraf,shcal20,ATL-FOR,Estuarine
940,110,Coraf,shcal20,ATL-FOR,Estuarine
2830,120,Coraf,shcal20,ATL-FOR,Estuarine
2550,30,Tizong,intcal20,ATL-FOR,Lake
545,30,Tizong,intcal20,ATL-FOR,Lake
1040,30,Tizong,intcal20,ATL-FOR,Lake
1610,30,Tizong,intcal20,ATL-FOR,Lake
3780,50,Tizong,intcal20,ATL-FOR,Lake
3315,35,Tizong,intcal20,ATL-FOR,Lake
834,35,FC000,intcal20,LWD-FOR,Swamp/Floodplain
2171,37,FC000,intcal20,LWD-FOR,Swamp/Floodplain
2362,39,FC000,intcal20,LWD-FOR,Swamp/Floodplain
770,100,BM6,intcal20,ATL-FOR,Lake
2200,285,BM6,intcal20,ATL-FOR,Lake
3690,315,BM6,intcal20,ATL-FOR,Lake
6520,645,BM6,intcal20,ATL-FOR,Lake
8690,475,BM6,intcal20,ATL-FOR,Lake
9900,250,BM6,intcal20,ATL-FOR,Lake
13120,965,BM6,intcal20,ATL-FOR,Lake
13480,240,BM6,intcal20,ATL-FOR,Lake
15470,100,BM6,intcal20,ATL-FOR,Lake
17080,885,BM6,intcal20,ATL-FOR,Lake
20420,1500,BM6,intcal20,ATL-FOR,Lake
24080,3500,BM6,intcal20,ATL-FOR,Lake
1770,30,MOPOBAI,intcal20,LWD-FOR,Shallow Basin
1445,35,MOPOBAI,intcal20,LWD-FOR,Shallow Basin
1470,30,MOPOBAI,intcal20,LWD-FOR,Shallow Basin
2360,40,MOPOBAI,intcal20,LWD-FOR,Shallow Basin
2530,35,MOPOBAI,intcal20,LWD-FOR,Shallow Basin
686,29,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
2011,29,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
1121,77,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
3755,32,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
5573,55,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
5040,35,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
12464,49,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
13286,55,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
17938,90,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
12222,51,ING100,shcal20,LWD-FOR,Swamp/Lake Margin
191,27,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
2823,25,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
8996,39,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
94,28,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
9693,48,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
11387,56,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
12348,52,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
11799,45,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
20691,106,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
22272,437,ING800,shcal20,LWD-FOR,Swamp/Lake Margin
1490,60,MAR2,shcal20,ATL-FOR,Lake
3230,40,MAR2,shcal20,ATL-FOR,Lake
2190,40,MAR2,shcal20,ATL-FOR,Lake
3430,40,MAR2,shcal20,ATL-FOR,Lake
3440,40,MAR2,shcal20,ATL-FOR,Lake
2600,40,MAR2,shcal20,ATL-FOR,Lake
4070,75,MAR2,shcal20,ATL-FOR,Lake
2630,40,MAR2,shcal20,ATL-FOR,Lake
3795,55,MAR2,shcal20,ATL-FOR,Lake
430,40,NGUE1,shcal20,ATL-FOR,Lake
990,40,NGUE1,shcal20,ATL-FOR,Lake
1630,40,NGUE1,shcal20,ATL-FOR,Lake
1600,35,NGUE1,shcal20,ATL-FOR,Lake
1940,40,NGUE1,shcal20,ATL-FOR,Lake
3310,40,NGUE1,shcal20,ATL-FOR,Lake
2429,41,NGUE1,shcal20,ATL-FOR,Lake
2510,40,NGUE1,shcal20,ATL-FOR,Lake
2540,40,NGUE1,shcal20,ATL-FOR,Lake
4460,40,NGUE1,shcal20,ATL-FOR,Lake
4110,40,NGUE1,shcal20,ATL-FOR,Lake
2341,49,NYABESSAN,intcal20,ATL-FOR,Swamp/Floodplain
2383,66,NYABESSAN,intcal20,ATL-FOR,Swamp/Floodplain
2318,42,NYABESSAN,intcal20,ATL-FOR,Swamp/Floodplain
2820,70,NYABESSAN,intcal20,ATL-FOR,Swamp/Floodplain
2933,44,NYABESSAN,intcal20,ATL-FOR,Swamp/Floodplain
160,45,KAM [1],shcal20,ATL-FOR,Shallow Basin
1430,40,KAM [1],shcal20,ATL-FOR,Shallow Basin
520,110,KAM [1],shcal20,ATL-FOR,Shallow Basin
1255,75,KAM [1],shcal20,ATL-FOR,Shallow Basin
1410,70,KAM [1],shcal20,ATL-FOR,Shallow Basin
565,170,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
345,60,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
835,25,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
1240,75,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
1760,70,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
2120,60,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
4450,30,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
6770,85,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
7630,95,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
7640,110,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
7570,35,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
8020,140,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
9140,50,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
8360,35,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
9930,40,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
10150,50,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
12450,40,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
13650,45,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
14750,85,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
11550,55,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
16850,85,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
14050,55,CEN-17.4,intcal20,LWD-FOR,Swamp/Floodplain
2649,37,EKGkm4,intcal20,LWD-FOR,Swamp/Floodplain
7652,42,EKGkm4,intcal20,LWD-FOR,Swamp/Floodplain
8484,41,EKGkm4,intcal20,LWD-FOR,Swamp/Floodplain
2547,37,EKGkm7-2015,intcal20,LWD-FOR,Swamp/Floodplain
7600,38,EKGkm7-2015,intcal20,LWD-FOR,Swamp/Floodplain
9091,39,EKGkm7-2015,intcal20,LWD-FOR,Swamp/Floodplain
1571,35,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
1754,38,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
1720,35,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
702,36,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
4811,37,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
4251,37,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
6354,39,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
7662,39,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
7993,40,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
9340,41,EKGkm9,intcal20,LWD-FOR,Swamp/Floodplain
8575,46,ITGkm6,intcal20,LWD-FOR,Swamp/Floodplain
