"","Depth (cm)","Volume (ml)","Lycopodium added","Lycopodium counted","concentration/ml","INDETERMINATE","Afzelia","Apiaceae undiff.","Balanites","Barleria","Bucholzia","Capparis","Commiphora","Daniella","Detarium","Dichrostachys","Elaeophorbia/Euphorbia","Erythrococca/Micrococca","Fabaceae - Mimosoideae Undiff.","Hildegardia","Holoptela grandis","Keetia/Psydrax","Lamiaceae undiff.","Leptaulus","Napoleona","Ochna","Oleaceae undiff.","Oncoba dentata","Piliostigma","Polygala/Securidaca","Adenia","Caryophyllaceae undiff.","Convolvulaceae Undiff.","Indigofera","Justicia-type","Lotus","Peperomia","Polycarpaea-type","Scrophulariaceae undiff.","Sesamum","Trichodesma","Crinium sp.","Bassiea","Cardiospermum","Illigera","Malpighiaceae undiff.","Sabicea","Tylophora","Aidia/Catunaregam","Albizia/Cathormion","Alstonia/Landolphia","Aneulophus","Anthostema","Aphania/Lecaniodiscus","Baphia/Millettia","Canarium","Centroplacus glaucinus","Connaraceae undiff.","Cordia","Crudia/Anthonotha/Microberlinia","Dasylepis","Dialium","Dichapetalum","Dicranolepis","Drypetes/Shirakia","Eremospatha","Eriocoelum","Funtumia/Holarrhena/Strophanthus","Gaertnera","Garcinia","Guibourtia","Icacinaceae undiff.","Ixora-type","Kirkia","Laccosperma","Machaerium/Ormocarpum/Pterocarpus","Martretia","Medusandra","Ongokea gore","Panda oleosa","Parinari","Paullinia","Podocarpus","Protea-type","Psychotria","Rapanea","Santiria","Strombosia","Strombosiopsis","Symphonia globulifera","Tabernaemontana","Teclea/Vepris","Tessmannia","Tetracera","Tetrapleura","Tricoscypha/Sorindeia-type juglandifolia","Turraeanthus","Ulmaceae undiff.","Xylia-type","Mangifera type","Morinda lucida-type","Premna","Rumex","Salvadora","Spathodea","Tephrosia","Brachystegia","Calamus","Casaeria","Craterispermum","Dichostemma","Manilkara-type","Rinorea","Spondias","Ericaceae undiff.","Phyllantheae undiff.","Rutaceae undiff.","Tiliaceae undiff.","Blighia","Bridelia/Cleistanthus","Cola/Sterculia","Diospyros","Dracaena","Eugenia/Syzygium","Fabaceae - Caesalpiniaceae undiff.","Fagonia","Ficus","Hymenocardia","Parkia","Sessuvium","Vitex","Brassicaceae Undiff.","Gramineae Undiff.","Heliotropium","Plantago","Cyperaceae undiff.","Nymphaea","Typha","Xyris","Celastraceae/Hippocrateaceae undiff.","Stephania/Tiliacora","Boswellia/Dacryodes","Mammea-type","Antiaris/Milicia/Morus","Antidesma/Thecacoris","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia","Meliaceae undiff.","Nesogordonia","Olax","Triplochiton","Borassua/Hyphaene","Elaeis guineensis","Palmae Undiff.","Phoenix","Raphia","Acacia","Alchornea","Amaranthaceae/Chenopodiaceae undiff.","Anthocleista grandiflora","Asteraceae","Bombax","Ceiba pentandra","Corynanthe/Hallea/Hymenodictyon/Mitragyna inermis/Nauclea/Pausinystalia/Sarcocephalus/Uncaria","Hannoa","Lannea/Sclerocarya","Macaranga/Mallotus/Mareya","Pouteria","Trema","Zizyphus","Cassia/Cynometra/Erythrophleum/Copaifera/Monopetalanthus","Entada/Prosopis/Piptadeniastrum","Gilbertiodendron/Isomacrolobium/Isoberlinia/Berlinia/Pelligriniodendron","Irvingia/Klainedoxa","Lophira alata","Mimusops","Pandanus","Piptostigma","Prunus","Rhus/Anthrocaryon/Pseudospondias","Scaphopetalum","Terminalia","Uapaca","Allophylus","Celtis","Myianthus/Musanga","Pycnanthus","Tetrorchidium","Zanthoxylum","Annonaceae Undiff.","Combretaceae undiff.","Malvaceae - Tiliaceae undiff.","Moraceae Undiff.","Rubiaceae undiff.","Sapindaceae undiff.","Sapotaceae Undiff.","Vitaceae undiff."
"17",85,2,24200,64,80352,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,3,0,0,0,0,0,1,2,0,1,0,13,0,2,4,2,1,0,1,11,0,0,2,0,3,2,0,1,0,3,4,2,1,5,0,181,0,0,0,0,0,13,1,10,38,0,4,0,2,0,0,0,1,2,2,0,2,3,1,11,10,2,15,3,0,0,17,0,2,0,0,1,3,0,0
"18",90,2,24200,100,49489,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,8,1,2,0,2,0,0,0,1,3,1,0,0,6,33,4,15,6,2,3,1,0,15,0,0,1,2,1,1,0,3,0,8,5,8,5,6,1,58,2,1,0,1,1,14,2,12,20,0,8,0,3,2,0,3,3,0,0,0,0,2,2,8,21,0,23,14,3,1,10,0,3,0,3,1,0,1,2
"19",95,2,24200,84,57331,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,2,0,6,1,37,1,12,6,3,2,1,0,9,0,0,0,3,1,3,1,0,1,5,2,4,6,0,1,92,1,0,0,1,0,11,3,17,10,0,3,1,3,1,1,5,8,0,1,0,0,1,1,8,16,0,30,6,2,0,3,2,8,0,0,0,0,0,0
"20",100,2,24200,91,54915,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0,2,1,0,2,0,33,0,8,3,1,0,0,0,35,3,0,0,1,0,0,0,5,2,1,4,2,7,5,0,140,1,4,2,2,2,16,1,3,22,1,2,3,0,3,0,2,3,0,0,0,0,2,1,1,6,0,28,0,2,4,3,0,3,2,3,1,0,0,2
"21",100,2,24200,103,47460,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,2,1,1,0,0,1,2,3,43,0,5,11,0,1,1,0,11,0,0,1,0,1,2,0,3,0,0,1,4,0,9,0,87,0,1,1,1,1,16,0,3,19,0,9,0,6,4,0,2,6,0,3,0,0,3,1,4,17,0,26,16,0,0,0,0,9,0,5,0,0,0,0
"22",110,2,24200,89,56013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,3,3,0,1,1,0,0,1,0,2,7,1,37,0,2,9,1,3,0,0,4,0,1,2,1,0,0,0,1,1,4,4,2,3,4,0,166,2,3,1,0,0,8,0,2,19,0,4,0,0,1,3,3,4,2,0,0,0,1,1,1,7,0,15,12,2,1,15,4,1,1,0,0,1,2,0
"23",115,2,24200,74,66877,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,1,2,0,1,3,1,59,0,9,4,0,1,0,0,4,0,1,3,1,0,0,1,2,0,6,5,2,3,4,0,151,0,1,1,2,1,5,0,4,28,0,6,1,4,1,0,4,9,0,5,0,1,1,1,2,1,0,15,7,0,0,3,3,7,0,0,0,0,0,0
"24",120,2,24200,103,48048,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,3,0,1,4,0,38,2,2,3,2,0,0,0,4,3,1,1,2,0,5,1,1,1,1,1,1,2,2,0,145,0,0,1,0,0,27,1,3,22,1,3,1,0,4,0,1,5,2,0,0,0,4,1,3,19,0,30,0,1,1,7,3,9,2,0,0,0,0,0
"25",125,2,24200,122,40763,43,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,3,1,1,1,0,3,0,0,8,1,35,0,4,18,0,1,1,1,11,0,0,1,1,3,0,3,4,0,9,3,1,2,7,2,49,0,3,2,1,0,16,3,8,22,0,4,0,7,2,1,5,7,0,3,0,1,5,7,8,11,0,19,26,2,1,3,0,10,0,0,0,0,2,0
"26",130,2,24200,81,59604,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,0,1,2,0,70,1,1,0,1,1,1,1,5,13,0,1,2,2,0,1,1,0,6,6,3,3,9,0,55,0,2,0,1,0,16,4,6,32,3,3,0,1,0,4,6,4,0,5,0,0,3,0,6,28,0,20,8,0,0,10,3,0,1,0,0,0,0,0
