"","Depth (cm)","Volume (ml)","Lycopodium added","Lycopodium counted","concentration/ml","INDETERMINATE","Afzelia","Apiaceae undiff.","Balanites","Barleria","Bucholzia","Capparis","Commiphora","Daniella","Detarium","Dichrostachys","Elaeophorbia/Euphorbia","Erythrococca/Micrococca","Fabaceae - Mimosoideae Undiff.","Hildegardia","Holoptela grandis","Keetia/Psydrax","Lamiaceae undiff.","Leptaulus","Napoleona","Ochna","Oleaceae undiff.","Oncoba dentata","Piliostigma","Polygala/Securidaca","Adenia","Caryophyllaceae undiff.","Convolvulaceae Undiff.","Indigofera","Justicia-type","Lotus","Peperomia","Polycarpaea-type","Scrophulariaceae undiff.","Sesamum","Trichodesma","Crinium sp.","Bassiea","Cardiospermum","Illigera","Malpighiaceae undiff.","Sabicea","Tylophora","Aidia/Catunaregam","Albizia/Cathormion","Alstonia/Landolphia","Aneulophus","Anthostema","Aphania/Lecaniodiscus","Baphia/Millettia","Canarium","Centroplacus glaucinus","Connaraceae undiff.","Cordia","Crudia/Anthonotha/Microberlinia","Dasylepis","Dialium","Dichapetalum","Dicranolepis","Drypetes/Shirakia","Eremospatha","Eriocoelum","Funtumia/Holarrhena/Strophanthus","Gaertnera","Garcinia","Guibourtia","Icacinaceae undiff.","Ixora-type","Kirkia","Laccosperma","Machaerium/Ormocarpum/Pterocarpus","Martretia","Medusandra","Ongokea gore","Panda oleosa","Parinari","Paullinia","Podocarpus","Protea-type","Psychotria","Rapanea","Santiria","Strombosia","Strombosiopsis","Symphonia globulifera","Tabernaemontana","Teclea/Vepris","Tessmannia","Tetracera","Tetrapleura","Tricoscypha/Sorindeia-type juglandifolia","Turraeanthus","Ulmaceae undiff.","Xylia-type","Mangifera type","Morinda lucida-type","Premna","Rumex","Salvadora","Spathodea","Tephrosia","Brachystegia","Calamus","Casaeria","Craterispermum","Dichostemma","Manilkara-type","Rinorea","Spondias","Ericaceae undiff.","Phyllantheae undiff.","Rutaceae undiff.","Tiliaceae undiff.","Blighia","Bridelia/Cleistanthus","Cola/Sterculia","Diospyros","Dracaena","Eugenia/Syzygium","Fabaceae - Caesalpiniaceae undiff.","Fagonia","Ficus","Hymenocardia","Parkia","Sessuvium","Vitex","Brassicaceae Undiff.","Gramineae Undiff.","Heliotropium","Plantago","Cyperaceae undiff.","Nymphaea","Typha","Xyris","Celastraceae/Hippocrateaceae undiff.","Stephania/Tiliacora","Boswellia/Dacryodes","Mammea-type","Antiaris/Milicia/Morus","Antidesma/Thecacoris","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia","Meliaceae undiff.","Nesogordonia","Olax","Triplochiton","Borassua/Hyphaene","Elaeis guineensis","Palmae Undiff.","Phoenix","Raphia","Acacia","Alchornea","Amaranthaceae/Chenopodiaceae undiff.","Anthocleista grandiflora","Asteraceae","Bombax","Ceiba pentandra","Corynanthe/Hallea/Hymenodictyon/Mitragyna inermis/Nauclea/Pausinystalia/Sarcocephalus/Uncaria","Hannoa","Lannea/Sclerocarya","Macaranga/Mallotus/Mareya","Pouteria","Trema","Zizyphus","Cassia/Cynometra/Erythrophleum/Copaifera/Monopetalanthus","Entada/Prosopis/Piptadeniastrum","Gilbertiodendron/Isomacrolobium/Isoberlinia/Berlinia/Pelligriniodendron","Irvingia/Klainedoxa","Lophira alata","Mimusops","Pandanus","Piptostigma","Prunus","Rhus/Anthrocaryon/Pseudospondias","Scaphopetalum","Terminalia","Uapaca","Allophylus","Celtis","Myianthus/Musanga","Pycnanthus","Tetrorchidium","Zanthoxylum","Annonaceae Undiff.","Combretaceae undiff.","Malvaceae - Tiliaceae undiff.","Moraceae Undiff.","Rubiaceae undiff.","Sapindaceae undiff.","Sapotaceae Undiff.","Vitaceae undiff."
"27",135,2,24200,95,51329,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2,3,0,0,0,0,0,2,0,0,11,2,79,0,3,13,2,3,1,0,2,0,0,2,4,1,0,0,1,0,9,5,5,9,6,0,26,2,1,2,0,0,10,2,6,39,0,2,0,3,1,2,5,5,0,1,0,1,2,7,12,22,0,14,9,0,1,3,5,3,0,2,2,0,2,0
"28",140,2,24200,112,44403,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,1,0,0,1,2,1,0,0,3,1,61,1,2,4,1,2,0,1,4,3,0,0,4,0,0,0,4,2,2,5,7,6,7,1,31,1,5,1,0,1,19,0,7,31,1,6,0,8,3,3,4,4,0,2,0,0,3,0,7,39,0,22,2,4,1,8,3,9,1,0,0,0,0,2
"29",145,2,24200,86,56420,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,1,1,1,1,1,0,1,0,3,0,2,6,2,72,0,7,5,0,5,4,0,5,0,0,1,0,1,1,0,1,1,6,7,3,5,4,0,61,3,1,0,0,2,13,0,3,44,0,6,0,4,0,0,4,4,0,0,0,0,0,2,1,29,0,8,4,2,2,6,1,4,0,1,1,2,0,0
"30",150,2,24200,66,76450,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,2,6,1,1,0,1,6,3,63,1,6,3,0,0,0,1,2,10,1,1,2,1,4,0,2,5,3,1,3,6,6,0,35,1,2,0,3,0,27,2,3,32,1,5,0,3,2,2,5,3,0,2,0,0,5,0,9,35,0,13,17,1,0,8,3,5,6,2,0,0,0,0
"31",155,2,24200,99,51211,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,1,1,0,0,4,0,1,3,0,1,9,5,63,0,3,9,2,3,6,0,3,0,0,1,3,1,1,0,0,0,5,5,9,3,6,0,45,3,2,2,0,2,11,4,3,26,0,2,0,2,2,1,5,6,0,3,2,1,4,6,9,22,0,24,12,3,1,3,0,7,0,0,0,1,0,1
"32",160,2,24200,78,62982,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,4,2,2,0,0,1,0,1,2,7,0,66,2,3,8,1,2,1,0,5,1,0,2,2,1,0,1,3,0,4,2,4,10,6,0,33,1,1,1,0,0,16,2,3,28,0,4,0,2,1,1,3,4,0,4,0,0,1,3,3,30,1,26,20,4,2,11,3,2,3,5,1,0,1,1
"33",165,2,24200,78,61741,49,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,5,0,3,0,1,2,2,82,0,2,10,0,8,0,3,4,1,1,8,0,0,0,2,2,0,1,7,5,0,11,0,17,0,0,0,1,0,17,3,2,21,0,1,0,3,3,3,0,9,0,1,0,0,3,4,3,35,0,15,14,1,1,4,0,6,0,1,0,0,2,0
"34",170,2,24200,86,57686,44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,0,1,8,1,64,1,2,6,0,0,1,0,2,15,0,1,2,0,0,0,1,2,3,7,5,4,7,0,30,1,1,0,1,0,24,0,5,31,1,7,0,2,2,1,2,0,1,0,0,0,2,1,6,35,2,15,20,2,3,7,3,6,2,0,0,0,0,2
"35",175,2,24200,93,53344,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,1,0,0,1,0,1,5,5,48,0,0,10,0,8,0,0,0,0,0,1,2,0,0,0,1,0,3,4,5,0,4,0,19,1,2,1,2,0,15,2,7,11,0,5,0,4,6,1,2,11,1,0,0,2,2,7,2,115,0,12,5,0,0,8,0,6,0,0,0,0,0,3
"36",180,2,24200,92,52214,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,2,1,0,0,6,0,91,2,0,10,1,1,0,0,0,3,0,2,2,0,4,0,5,0,5,1,6,11,14,0,23,2,1,1,0,3,19,1,3,11,0,3,0,1,0,0,4,7,1,7,0,0,1,1,3,17,2,18,17,1,3,7,1,7,1,5,0,0,0,4
"37",185,1,24200,159,60119,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,9,1,0,1,0,0,1,0,2,0,4,2,3,41,0,0,16,0,0,0,0,8,0,0,2,3,1,0,0,2,0,5,1,7,0,3,0,30,1,1,0,0,0,15,0,7,35,0,14,0,1,3,0,4,5,2,0,2,1,5,1,6,32,0,14,51,1,3,8,2,1,0,1,1,2,0,1
"38",190,1,24200,202,47561,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,1,1,0,0,4,3,0,3,8,3,29,0,2,8,1,1,2,4,5,0,0,1,2,1,1,1,1,0,6,3,2,0,0,0,34,1,5,0,2,0,22,3,4,31,0,12,0,1,1,0,5,7,0,2,0,0,8,2,9,23,0,10,47,0,2,10,2,3,0,1,0,4,0,0
"39",195,1,24200,100,101640,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,1,0,1,2,2,2,4,1,0,27,0,1,0,2,1,0,2,14,6,2,0,4,1,0,0,3,0,0,5,1,2,5,0,29,0,3,0,0,2,9,0,10,20,0,15,0,1,8,1,5,9,0,2,0,1,1,1,37,61,1,14,41,1,0,18,1,8,0,0,1,0,0,2
"40",200,1,24200,80,120395,25,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,5,4,2,0,1,0,0,3,3,0,3,2,0,14,1,1,7,0,0,2,2,2,0,3,5,0,1,1,0,1,0,2,3,0,0,8,0,36,0,1,0,1,0,17,0,12,35,1,12,1,0,7,1,6,5,0,4,1,0,6,2,12,47,0,10,36,1,0,2,0,2,1,8,1,0,2,0
