"","Acacia groupe I","Acacia groupe III","Acalypha","Acanthaceae undiff.","Achyranthes-type aspera","Aerva-type lanata","Aeschynomene baumii-type","Alangium chinense","Alchornea","Alstonia-type boonei","Amaranthaceae/Chenopodiaceae undiff.","Anisotes","Anogeissus-type leiocarpus","Anthocleista","Anthospermum","Antidesma-type venosum","Apocynaceae undiff.","Asteraceae undiff.","Balanites rotundifolia-type","Bersama abyssinica-type","Blighia unijugata-type","Bombax costatum-type","Borassus-type aethiopum","Bridelia ferruginea-type","Caesalpiniaceae undiff.","Campylospermum","Carapa-type procera","Caryophyllaceae undiff.","Cassia-type","Cassia-type italica","Ceiba pentandra","Celastraceae undiff.","Celastraceae/Hippocrateaceae undiff.","Celtis","Chaetacme aristata","Cissus quadrangularis-type","Clematis-type","Combretaceae undiff.","Combretaceae/Melastomataceae undiff.","Combretum-type molle","Commelina-type benghalensis","Commiphora africana-type","Cordia platythyrsa-type","Croton-type","Cucurbitaceae undiff.","Cussonia","Cyathula-type orthacantha","Cyperaceae undiff.","Cyphostemma-type cyphopetalum","Diospyros","Dombeya-type","Ekebergia-type capensis","Elaeis guineensis","Elaeophorbia-type","Entada-type","Euphorbiaceae undiff.","Fabaceae undiff.","Ficus","Flueggea virosa-type","Ganophyllum-type giganteum","Garcinia granulata-type","Gardenieae undiff.","Grewia-type","Hagenia abyssinica","Harungana madagascariensis-type","Heliotropium steudneri-type","Holoptelea grandis","Hymenocardia","Hymenodictyon-type floribundum","Undetermined","Indigofera","Iodes","Irvingia-type gabonensis","Isoberlinia-type","Justicia-type flava","Klaineanthus gaboniae","Lamiaceae undiff.","Lannea-type","Leucas-type","Lophira lanceolata-type","Lygodium microphyllum","Macaranga-type","Mallotus-type oppositifolius","Mansonia altissima-type","Margaritaria discoidea","Meliaceae undiff.","Mimulopsis-type","Mitragyna-type inermis","Moraceae undiff.","Morelia senegalensis","Myrianthus-type arboreus","Myrica","Myrtaceae undiff.","Nymphaea lotus-type","Olea capensis-type","Olea europaea-type","Ozoroa-type","Pancovia-type bijuga","Parinari-type","Paullinia pinnata","Pausinystalia-type macroceras","Pavetta gardeniifolia-type","Phyllanthus-type","Phyllanthus-type nummulariifolius","Piptadeniastrum-type africanum","Poaceae undiff.","Podocarpus","Polyscias fulva-type","Protea-type","Psydrax-type schimperiana","Pteridium-type aquilinum","Pteridophyta undiff.","Pycnanthus angolensis-type","Raphia","Raphiostylis","Rauvolfia","Ricinus communis","Rubiaceae undiff.","Rubus pinnatus-type","Sapotaceae undiff.","Schefflera myriantha-type","Scottelia klaineana-type","Sorindeia-type juglandifolia","Monoletes undiff.","Triletes undiff.","Sterculia-type","Syzygium-type","Tacazzea-type apiculata","Tapinanthus-type","Tetrapleura tetraptera-type","Tetrorchidium","Thymelaeaceae undiff.","Trema-type orientalis","Trichilia-type","Trilepisium-type madagascariensis","Triplochiton scleroxylon-type","Uapaca","Vepris-type","Vernonieae undiff.","Vitex-type","Wahlenbergia-type","Withania-type somnifera","Zanha golungensis-type"
"23",3,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,12,0,0,0,0,2,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,11,17,0,0,0,3,0,0,0,0,0,0,383,10,0,0,8,0,0,0,0,3,0,0,0,13,9,0,1,9,14,0,0,0,0,0,0,7,0,0,8,3,0,2,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,1,25,0,3,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,10,10,0,0,8,0,0,0,0,2,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,10,25,0,0,0,5,0,0,0,0,0,0,300,20,0,0,1,0,0,0,0,0,1,0,0,20,1,3,0,7,0,17,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,2,0,38,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,260,1,0,0,2,0,7,0,0,0,0,0,0,1,7,3,1,6,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,11,1,0,0,9,0,0,0,0,2,0,0,0,0,37,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,326,6,0,0,0,5,0,0,2,0,0,0,0,17,0,0,0,12,5,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,7,0,0,0,6,0,0,0,0,0,0,0,5,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,7,0,250,3,0,0,2,0,7,0,0,0,0,0,0,11,2,1,0,12,0,6,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,0,1,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,5,0,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,391,3,0,0,12,0,13,0,0,0,0,0,0,1,11,1,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,8,0,0,0,0,0,0,0,7,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,340,1,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,7,10,7,0,0,0,0,0,7,0,0,6,8,0,0,0,0,0,0,0,1
"30",0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,325,1,0,0,1,0,18,0,0,0,0,0,0,0,5,3,0,5,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,341,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,14,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1
"32",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,1,0,48,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,360,0,0,0,1,0,15,0,0,0,0,0,0,0,1,1,0,2,8,0,0,1,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
"33",4,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,15,0,0,0,1,0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,382,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,1,2,0,0,0,8,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,19,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,3,0,0,0,0,0,0,353,0,0,0,1,0,11,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,287,5,0,0,0,0,11,2,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,10,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,47,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
