"","Lycopodium counted","Charcoal counted","Lycopodium added ","volume (cc) ","Alchornea","Anacardiaceae undiff.","Anthocleista","Antidesma-type","Bridelia ferruginea-type","Celtis","Cussonia","Dombeya-type","Erythrococca-type","Eugenia-type","Ficus","Gnidia-type","Holoptelea grandis","Hymenocardia","Hymenodictyon-type","Hypericum","Ilex mitis","Isoberlinia-type","Ixora-type","Lophira","Macaranga-type","Mallotus-type oppositifolius","Margaritaria discoidea","Maytenus","Mitragyna-type inermis","Morelia senegalensis","Morus","Myrianthus-type","Myrica","Nuxia-type","Olea capensis-type","Podocarpus","Polyscias","Protea-type","Prunus","Pycnanthus","Rapanea","Rhus-type","Salix","Symphonia globulifera","Syzygium-type","Trichilia-type","Uapaca","Zanha","Zanha-1","Acacia","Allophylus","Clematis-type","Maesa","Periploca","Psydrax-type schimperiana","Rhamnaceae undiff.","Rutaceae undiff.","Sapindaceae undiff.","Sapotaceae undiff.","Schefflera","Zanthoxylum-type","Elaeis guineensis","Acalypha","Acanthaceae undiff.","Aizoaceae undiff.","Amaranthaceae/Chenopodiaceae undiff.","Apiaceae undiff.","Asteraceae undiff.","Chassalia","Cichorieae undiff.","Combretaceae/Melastomataceae undiff.","Croton-type","Euphorbiaceae undiff.","Euphorbia-type","Fabaceae undiff.","Hypoestes-type","Justicia-type","Monocotyledoneae undiff.","Rubiaceae undiff.","Solanum-type","Undetermined","Achyranthes-type aspera","Aerva-type lanata","Alchemilla","Alternanthera","Ascolepis","Centaurea-type","Commelina-type benghalensis","Corchorus-type","Cynoglossum-type","Echinops","Fumaria abyssinica-type","Lepidagathis","Mitracarpus villosus","Plantago","Poaceae undiff.","Ricinus communis","Cyperaceae undiff.","Laurembergia tetrandra","Nymphaea","Polygonum senegalense","Potamogeton","Typha","Cyathea-type","Monolètes à épines et non lisses autres","Monoletes undiff.","Polypodium-type polypodioides","Pteris-type","Triletes undiff.","Triletes undiff.-1","Pediastrum","Zygnema","Tetraedron","Anthocerotaceae","Spagnum"
"11","183.0","3629.0","37166.0","0.63","3.0","0","2.0","1.0","1.0","3.0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","8.0","6.0","0","17.0","0","16.0","0","0","1.0","0","0","6.0","0","0","0","0","0","0","0","0","0","0","2.0","0","1.0","0","0","2.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","2.0","0","0","3.0","1.0","0","0","3.0","0","0","0","0","0","10.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266.0","0","939.0","0","0","6.0","0","0","0","0","17.0","0","7.0","1.0","0","0","1.0","0","1.0","0"
"12","191.0","2941.0","37166.0","0.69","8.0","0","0","0","0","10.0","0","2.0","0","0","7.0","0","0","0","0","0","0","0","0","0","9.0","4.0","0","21.0","1.0","7.0","0","0","0","0","0","6.0","0","0","1.0","0","0","0","0","0","0","0","2.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","0","0","1.0","0","6.0","0","4.0","5.0","0","0","0","4.0","0","0","0","0","1.0","12.0","0","0","2.0","1.0","0","0","0","0","0","0","0","0","0","0","366.0","0","1301.0","0","1.0","4.0","0","0","0","1.0","28.0","0","0","0","8.0","0","0","0","3.0","0"
"13","217.0","4789.0","37166.0","0.64","6.0","0","0","0","1.0","6.0","0","1.0","0","0","2.0","0","0","0","0","0","0","0","0","0","2.0","4.0","0","30.0","0","6.0","2.0","0","0","0","0","2.0","0","1.0","0","1.0","0","0","0","0","1.0","0","1.0","1.0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","1.0","0","8.0","0","0","0","0","0","1.0","0","1.0","1.0","0","0","0","5.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","1.0","231.0","0","713.0","0","0","7.0","0","0","0","0","16.0","0","3.0","2.0","0","0","1.0","0","0","0"
"14","249.0","6158.6","37166.0","0.67","12.0","1.0","0","0","0","6.0","0","1.0","0","0","2.0","0","0","0","0","1.0","0","0","0","0","6.0","0","0","28.0","1.0","6.0","0","0","0","0","1.0","6.0","0","1.0","2.0","0","0","0","0","0","0","0","2.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","6.0","1.0","0","2.0","0","0","0","0","0","0","0","0","0","6.0","0","0","1.0","1.0","0","1.0","0","0","0","0","0","0","0","0","313.0","0","940.0","0","3.0","3.0","0","0","0","0","23.0","0","2.0","1.0","0","1.0","0","0","1.0","0"
"15","149.0","3342.0","37166.0","0.68","5.0","0","1.0","0","1.0","0","0","1.0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","7.0","4.0","0","23.0","0","2.0","0","1.0","0","0","4.0","3.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","2.0","0","1.0","0","0","1.0","1.0","2.0","0","0","1.0","0","0","0","1.0","0","0","0","0","0","2.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.0","0","688.0","0","1.0","6.0","0","1.0","0","0","11.0","0","0","1.0","0","0","1.0","0","0","0"
"16","241.0","5125.0","37166.0","0.69","2.0","0","1.0","3.0","0","5.0","0","0","0","0","2.0","0","1.0","0","0","0","0","0","0","0","2.0","5.0","0","17.0","0","3.0","0","0","0","0","0","2.0","1.0","1.0","4.0","0","0","0","0","0","1.0","0","1.0","0","0","0","0","0","0","0","0","0","1.0","0","1.0","0","0","0","1.0","0","0","0","0","6.0","0","0","6.0","0","0","0","4.0","0","0","0","0","0","4.0","0","0","0","0","1.0","0","0","0","0","0","0","0","1.0","1.0","302.0","0","923.0","1.0","0","3.0","0","1.0","0","0","17.0","0","5.0","0","0","0","0","0","2.0","0"
"17","223.0","4133.0","37166.0","0.74","7.0","0","0","1.0","2.0","6.0","0","0","0","0","4.0","0","0","1.0","0","0","0","0","0","0","7.0","0","0","31.0","0","3.0","0","1.0","3.0","0","9.0","4.0","0","0","0","0","0","0","0","0","3.0","0","0","1.0","2.0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","1.0","0","0","7.0","0","0","0","0","0","0","1.0","0","0","0","0","0","3.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","285.0","0","599.0","0","1.0","9.0","0","0","0","0","15.0","0","1.0","0","0","2.0","0","0","0","0"
"18","207.0","5416.0","37166.0","0.69","5.0","0","2.0","0","1.0","1.0","0","1.0","0","0","2.0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","21.0","0","3.0","0","0","0","0","0","8.0","0","0","0","0","0","1.0","0","0","1.0","1.0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0","0","6.0","1.0","0","0","0","0","0","1.0","0","1.0","0","3.0","0","2.0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","227.0","0","479.0","0","1.0","8.0","0","0","0","0","60.0","0","3.0","3.0","0","1.0","0","0","1.0","0"
"19","153.0","5034.0","37166.0","0.72","6.0","0","0","1.0","1.0","1.0","1.0","3.0","0","0","2.0","0","1.0","0","0","0","0","0","0","1.0","3.0","1.0","0","34.0","0","0","2.0","0","1.0","0","0","1.0","0","1.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","1.0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","3.0","0","3.0","0","1.0","3.0","0","0","0","2.0","1.0","1.0","0","0","0","3.0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","278.0","0","532.0","0","1.0","2.0","0","0","0","0","16.0","0","1.0","3.0","0","0","0","0","5.0","0"
"20","380.0","9732.0","37166.0","0.72/0.73","7.0","1.0","0","0","2.0","4.0","0","2.0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","3.0","0","18.0","0","1.0","0","0","0","0","0","11.0","0","0","0","0","1.0","0","0","0","1.0","0","1.0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","1.0","0","0","0","0","3.0","0","13.0","0","0","4.0","0","0","0","1.0","0","0","0","2.0","0","7.0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","1.0","355.0","0","696.0","0","1.0","12.0","0","0","0","2.0","85.0","0","1.0","0","0","0","0","0","1.0","0"
