"","Depth (cm)","volume (ml)","Lycopodium added","Lycopodium counted","Aidia/Catunaregam","Croton/Crotonogyne/Jatropha/Manniophyton/Neoboutonia","Dialium","Drypetes/Shirakia","Machaerium/Ormocarpum/Pterocarpus","Meliaceae undiff.","Nesogordonia","Olax","Parinari","Symphonia globulifera","Allophylus","Celtis","Pycnanthus","Zanthoxylum","Blighia","Bridelia/Cleistanthus","Capparis","Cola/Sterculia","Detarium","Diospyros","Dracaena","Elaeophorbia/Euphorbia","Erythrococca/Micrococca","Eugenia/Syzygium","Fabaceae - Caesalpiniaceae undiff.","Ficus","Hymenocardia","Vitex","Cassia/Cynometra/Erythrophleum/Copaifera/Monopetalanthus","Entada/Prosopis/Piptadeniastrum","Manilkara-type","Mimusops","Pandanus","Rhus/Anthrocaryon/Pseudospondias","Uapaca","Phoenix","Raphia","Alchornea","Combretaceae undiff.","Lophira alata","Cyperaceae undiff.","Nymphaea","Typha","Corynanthe/Hallea/Hymenodictyon/Mitragyna inermis/Nauclea/Pausinystalia/Sarcocephalus/Uncaria","Elaeis guineensis","Macaranga/Mallotus/Mareya","Myianthus/Musanga","Spathodea","Tetrorchidium","Trema","Anthocleista grandiflora","Borassus/Hyphaene","Hannoa","Lannea/Sclerocarya","Pouteria","Zizyphus","Gramineae Undiff.","Celastraceae/Hippocrateaceae undiff.","Stephania/Tiliacora","Annonaceae Undiff.","Malvaceae - Tiliaceae undiff.","Palmae Undiff.","Rubiaceae undiff.","Sessuvium","Bucholzia","Leptaulus","Afzelia","Piliostigma","Dichrostachys","Lamiaceae undiff.","Ochna","Polygala/Securidaca","Keetia/Psydrax","Holoptela grandis","Balanites","Fagonia","Heliotropium","Brassicaceae","Convolvulaceae undiff.","Indigofera","Lotus","Adenia","Plantago","Spermacoce/Diodia","Xyris","Sabicea","Cardiospermum","Amaranthaceae/Chenopodiaceae undiff.","Alstonia/Landolphia","Tabernaemontana","Ilex mitis","Bignoniaceae Undiff.","Canarium","Tessmannia","Mammea africana-type","Allanblackia","Aneulophus","Anthostema","Antidesma/Thecacoris","Martretia","Baphia/Millettia","Xylia-type","Caloncoba-type","Kirkia","Antiaris/Milicia/Morus","Ongokea gore","Strombosia","Panda oleosa","Medusandra","Coffea","Ixora-type","Teclea/Vepris","Aphania/Lecaniodiscus","Ganophyllum-type giganteum","Paullinia pinnata","Zanha","Triplochiton","Mangifera type","Asteraceae","Bombax","Ceiba pentandra","Discoglypremna caloneura","Tephrosia","Acacia","Premna","Rumex","Morinda lucida-type","Dichostemma","Gilbertiodendron/Isomacrolobium/Isoberlinia/Berlinia/Pelligriniodendron","Irvingia/Klainedoxa","Scaphopetalum","Prunus","Craterispermum","Rinorea","Loranthaceae undiff.","Moraceae Undiff.","Phyllantheae undiff.","Sapindaceae undiff."
"25",120,2,25084,28,0,0,2,0,6,1,0,1,0,0,0,7,6,0,4,3,0,3,2,0,0,0,0,0,5,1,4,2,2,0,0,0,1,1,2,4,11,7,1,5,1,3,0,7,1,50,26,0,2,2,1,2,1,1,1,4,9,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"26",125,2,24200,22,0,0,0,0,3,1,1,0,0,0,1,10,3,1,10,2,0,1,0,0,0,0,0,1,1,1,2,2,3,0,0,1,1,1,3,4,5,9,3,2,0,0,1,5,3,50,17,1,1,4,2,3,1,0,0,0,17,1,2,2,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"27",130,2,25084,22,0,1,4,0,8,0,0,0,0,0,1,5,1,0,1,0,0,3,3,1,0,2,0,0,1,2,0,0,3,1,0,0,0,6,1,2,14,7,1,8,0,0,0,6,1,48,30,0,1,4,3,0,2,2,2,7,7,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",135,2,24200,13,1,0,0,0,5,1,2,1,0,0,0,3,2,2,2,2,0,6,1,1,4,0,0,1,0,2,1,1,2,4,0,0,0,1,3,2,13,7,9,2,0,4,0,11,2,40,25,0,0,4,5,2,0,2,3,3,16,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"29",140,2,25084,50,0,0,2,0,5,1,0,0,0,0,0,2,1,4,3,0,0,7,1,1,0,1,0,2,1,1,2,2,2,3,0,0,0,0,1,2,14,11,5,4,0,0,0,14,0,45,28,0,0,0,0,1,1,5,0,2,14,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"30",145,2,24200,12,0,0,1,1,0,0,4,3,0,0,1,4,3,2,6,1,0,6,1,0,0,0,0,1,0,0,0,1,4,4,0,2,0,0,1,4,7,10,5,3,2,3,0,19,0,48,17,0,1,2,0,0,2,0,2,1,14,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
"31",150,2,25084,32,0,0,1,0,10,1,0,1,0,0,1,4,3,2,3,2,0,3,1,2,2,0,0,0,3,0,1,1,2,2,0,0,0,2,1,1,11,5,4,2,2,2,0,7,2,58,33,0,0,7,0,3,2,1,1,0,2,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"32",155,2,24200,17,0,0,0,1,5,0,0,1,0,1,1,4,2,0,1,2,0,0,0,0,1,1,0,1,1,0,1,0,0,3,0,1,0,1,3,1,9,9,1,4,2,3,0,4,1,99,15,0,2,3,1,1,2,0,2,4,9,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"33",160,2,25084,22,0,1,0,0,10,1,0,1,0,0,2,4,6,1,7,3,0,5,0,0,1,0,0,5,0,1,1,4,2,2,0,1,0,0,0,2,15,11,1,6,0,3,0,3,1,32,31,0,2,1,1,1,1,3,0,5,9,0,0,6,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"34",165,2,24200,15,0,0,0,0,4,0,0,0,1,1,0,6,2,1,3,2,0,1,1,1,1,0,3,1,0,0,0,3,2,0,0,2,1,1,3,2,6,9,3,5,0,0,1,13,3,85,10,0,0,5,3,0,2,0,2,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
