"","cal_yrBP","depth"
"1",548.75,0
"2",563,50
"3",602.9,190
"4",620,250
"5",2036.36,450
"6",3027.813,590
"7",3523.539,660
"8",4514.991,800
"9",5789.715,980
"10",6115.478,1026
"11",7560.166,1230
"12",8055.892,1300
"13",11777.24,1370
"14",34972,1827
"15",34972,2035
"16",38688.12,2320
"17",40441,2812
"18",0,2957
"19",0,3026
"20",0,3240
"21",0,3444
"22",0,3546
"23",0,3599
