"","cal_yrBP","depth"
"1",15.63559,1.5
"2",26.05932,2.5
"3",36.48305,3.5
"4",46.90678,4.5
"5",57.33051,5.5
"6",67.75423,6.5
"7",78.17796,7.5
"8",88.60169,8.5
"9",99.02542,9.5
"10",109.4492,10.5
"11",140.7203,13.5
"12",182.4153,17.5
"13",203.2627,19.5
"14",224.1102,21.5
"15",265.8051,25.5
"16",307.5,29.5
"17",323.1356,31
"18",364.8305,35
"19",406.5254,39
"20",448.2203,43
"21",489.9153,47
"22",531.6102,51
"23",573.3051,55
"24",635.8475,61
