"","cal_yrBP","depth"
"1",205,4
"2",307,6
"3",410,8
"4",512,10
"5",614,12
"6",717,14
"7",940,16
"8",1163,18
"9",1385,20
"10",1608,22
"11",1831,24
"12",2054,26
"13",2277,28
"14",2722,32
